央视频道,#genre#
CCTV1 综合,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV1 综合,http://fangsong.live/hls/live.php?id=cctv1
CCTV1 综合,http://fangsong.live/hls/gdy.php?id=cctv1
CCTV1 综合,http://fangsong.live/hls/yztv.php?id=cctv1
CCTV2 财经,http://fangsong.live/hls/miguak.php?id=cctv2
CCTV2 财经,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3 综艺,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4K 超高清,http://fangsong.live/hls/cctv4k.php
CCTV4 国际,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5 体育,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV5+ 赛事,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV6 电影,http://fangsong.live/hls/miguak.php?id=cctv6
CCTV6 电影,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV6 电影,http://fangsong.live/hls/live.php?id=cctv6
CCTV6 电影,http://fangsong.live/hls/1905.php
CCTV7 军事农业,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8 电视剧,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9 记录,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10 科教,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11 戏曲,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12 社会与法,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13 新闻,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV13 新闻,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
CCTV14 少儿,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV15 音乐,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV16 奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16 奥林匹克,http://livepull.sxiptv.cn/live/CCTV16.m3u8?txSecret=eb9c76cfe79581d77642610a4445e33a&txTime=66666666
CCTV16 奥林匹克,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV16 奥林匹克,http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8
CCTV17 农业农村,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CCTV怀旧剧场,http://fangsong.live/hls/miguak.php?id=hjjc
CCTV风云足球,http://fangsong.live/hls/miguak.php?id=fyzq
CCTV第一剧场,http://fangsong.live/hls/miguak.php?id=dyjc
CCTV世界地理,http://fangsong.live/hls/miguak.php?id=sjdl
CCTV央视台球,http://fangsong.live/hls/miguak.php?id=ystq
卫视频道,#genre#
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州电影娱乐信息,https://liveshowbak2.kan0512.com/norecord/ncsztv4_sd/playlist.m3u8
宜昌综合,http://fangsong.live/hls/sxgd.php?id=zhpd
宜昌公共,http://fangsong.live/hls/sxgd.php?id=ggpd
旅游生活,http://fangsong.live/hls/sxgd.php?id=lysw
济南铁路,http://fangsong.live/hls/live.php?id=jntl
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8
湖南卫视,http://fangsong.live/hls/live.php?id=hnws
湖南卫视,https://play.olelive.olevod.tv:6443/tv/hunan/hls.m3u8
湖南卫视,http://122.96.52.28/gitv_live/G_HUNAN/G_HUNAN.m3u8
浙江卫视,http://iptv.tvfix.org/hls/zjhd.m3u8
浙江卫视,,http://fangsong.live/hls/live.php?id=zjws
江苏卫视,http://iptv.tvfix.org/hls/jshd.m3u8
江苏卫视,http://fangsong.live/hls/js.php?id=jsws
康巴卫视,http://scgctvshow.sctv.com/sdlive/kangba/1.m3u8
河北卫视,http://live2.plus.hebtv.com/hbwsx/hd/live.m3u8
湖北卫视,http://fangsong.live/hls/cjy.php?id=hbws
湖北卫视,http://fangsong.live/hls/hbtv.php?id=431
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/m3u8:500k/live.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
江西卫视,http://fangsong.live/hls/jxtv.php?id=jxtv1
影视旅游频道,http://fangsong.live/hls/jxtv.php?id=jxtv4
新闻频道,http://fangsong.live/hls/jxtv.php?id=jxtv7
云南卫视,http://fangsong.live/hls/yunnan.php?id=ynws
重庆卫视,http://qxlmlive.cbg.cn:1935/app_2/ls_67.stream/chunklist.m3u8
东方卫视,http://iptv.tvfix.org/hls/dfhd.m3u8
东方影视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dsjpdhd/2300000/mnf.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8
